Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Minnesota Valley Transit Authority,Burnsville,MN,50519,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN",2914866,91,MB,Bus,PT,78,8412632,,1911019,,3622193,,15738066,,0,,29683910,,0,
Golden Empire Transit District,Bakersfield,CA,90004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,04681,"Bakersfield, CA",570235,91,MB,Bus,DO,61,15235956,,5389405,,1441410,,6394085,,0,,28460856,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,02683,"Antioch, CA",326205,91,MB,Bus,PT,52,11064319,,3858761,,255723,,5656295,,0,,20835098,,0,
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,13510,"Cape Coral, FL",599242,91,DR,Demand Response,DO,46,6724897,,648995,,176503,,1137220,,0,,8687615,,0,
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,13510,"Cape Coral, FL",599242,91,MB,Bus,DO,45,14526461,,1583144,,1086987,,2147060,,0,,19343652,,0,
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,91,MB,Bus,PT,43,13788220,,3674959,,1622135,,5893179,,0,,24978493,,0,
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,91,DR,Demand Response,PT,35,3049590,,165609,,108420,,1476453,,0,,4800072,,0,
Golden Empire Transit District,Bakersfield,CA,90004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,04681,"Bakersfield, CA",570235,91,DR,Demand Response,DO,30,3559095,,195570,,49807,,1749943,,0,,5554415,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,02683,"Antioch, CA",326205,91,DR,Demand Response,PT,27,4005618,,248370,,90336,,700599,,0,,5044923,,0,
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,91,DR,Demand Response,TN,13,244333,,0,,537,,143868,,0,,388738,,0,
Minnesota Valley Transit Authority,Burnsville,MN,50519,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN",2914866,91,DR,Demand Response,PT,13,774576,,175937,,333406,,1366046,,0,,2649965,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,02683,"Antioch, CA",326205,91,DR,Demand Response,TN,12,249582,,18956,,11498,,126898,,0,,406934,,0,
Central Kentucky Community Action Council,Lebanon,KY,41165,Private-Non-Profit Corporation,Rural Reporter,2022,,,,90,DR,Demand Response,DO,90,0,,0,,0,,0,,3110042,,3110042,,0,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,88,MB,Bus,DO,74,10965534,,2907776,,2026074,,3120614,,0,,19019998,,0,
Mecklenburg County,Charlotte,NC,40228,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15670,"Charlotte, NC--SC",1379873,88,DR,Demand Response,TX,67,1618626,,548669,,97552,,726989,,0,,2991836,,0,
