Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"City of Lewiston, dba: Lewiston Transit System",Lewiston,ID,00048,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,49312,"Lewiston, ID--WA",54798,5,MB,Bus,DO,2,0,,0,,0,,0,,676268,,676268,,0,
Asotin County Public Transportation Benefit Area,Clarkston,WA,00051,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,49312,"Lewiston, ID--WA",54798,13,DR,Demand Response,DO,2,0,,0,,0,,0,,376793,,376793,,0,
Asotin County Public Transportation Benefit Area,Clarkston,WA,00051,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,49312,"Lewiston, ID--WA",54798,13,MB,Bus,DO,3,0,,0,,0,,0,,1347136,,1347136,,0,
Asotin County Public Transportation Benefit Area,Clarkston,WA,00051,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,49312,"Lewiston, ID--WA",54798,13,VP,Vanpool,DO,8,0,,0,,0,,0,,111112,,111112,,0,
"Coeur d'Alene Tribe, dba: Citylink Transit",Plummer,ID,00053,Tribe,Reduced Reporter,2024,18451,"Coeur d'Alene, ID",121831,7,DR,Demand Response,DO,2,0,,0,,0,,0,,247472,,247472,,0,
"Coeur d'Alene Tribe, dba: Citylink Transit",Plummer,ID,00053,Tribe,Reduced Reporter,2024,18451,"Coeur d'Alene, ID",121831,7,MB,Bus,DO,5,0,,0,,0,,0,,2148274,,2148274,,0,
"Kootenai County, dba: Citylink North",Coeur D Alene,ID,00055,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,18451,"Coeur d'Alene, ID",121831,4,DR,Demand Response,PT,4,0,,0,,0,,0,,797204,,797204,,0,
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,2024,06868,"Bend, OR",106988,90,DR,Demand Response,DO,8,652283,,54567,,16200,,684342,,0,,1407392,,0,
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,2024,06868,"Bend, OR",106988,90,DR,Demand Response,PT,8,928224,,164678,,26810,,689062,,0,,1808774,,0,
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,2024,06868,"Bend, OR",106988,90,MB,Bus,DO,14,1767834,,383431,,19688,,1578856,,0,,3749809,,0,
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,2024,06868,"Bend, OR",106988,90,MB,Bus,PT,13,1759623,,444282,,52081,,1773528,,0,,4029514,,0,
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,00057,"MPO, COG or Other Planning Agency",Full Reporter,2024,06868,"Bend, OR",106988,90,VP,Vanpool,PT,47,85575,,16135,,372,,245516,,0,,347598,,0,
"City of Portland, dba: Portland Streetcar",Portland,OR,00058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,71317,"Portland, OR--WA",2104238,14,SR,Streetcar Rail,PT,12,11070035,,3362684,,2327896,,6465621,,0,,23226236,,0,
"City of Portland, dba: Portland Streetcar",Portland,OR,00058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,71317,"Portland, OR--WA",2104238,14,TR,Aerial Tramway,PT,2,2928670,,126827,,395610,,704940,,0,,4156047,,0,
"Josephine County, dba: Josephine Community Transit",Grants Pass,OR,00059,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,34516,"Grants Pass, OR",55724,18,CB,Commuter Bus,DO,6,0,,0,,0,,0,,1633884,,1633884,,0,
"Josephine County, dba: Josephine Community Transit",Grants Pass,OR,00059,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,34516,"Grants Pass, OR",55724,18,DR,Demand Response,DO,5,0,,0,,0,,0,,928538,,928538,,0,
"Josephine County, dba: Josephine Community Transit",Grants Pass,OR,00059,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,34516,"Grants Pass, OR",55724,18,MB,Bus,DO,7,0,,0,,0,,0,,1401861,,1401861,,0,
"City of Albany, dba: Albany Transit System, Linn-Benton Loop",Albany,OR,00061,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,00955,"Albany, OR",62074,15,DR,Demand Response,DO,7,0,,0,,0,,0,,862280,,862280,,0,
"City of Albany, dba: Albany Transit System, Linn-Benton Loop",Albany,OR,00061,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,00955,"Albany, OR",62074,15,MB,Bus,DO,8,0,,0,,0,,0,,2549546,,2549546,,0,
City of Milton-Freewater,Milton Freewater,OR,00063,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,2,DR,Demand Response,TX,1,0,,0,,0,,0,,130611,,130611,,0,
City of Milton-Freewater,Milton Freewater,OR,00063,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,2,MB,Bus,PT,1,0,,0,,0,,0,,135219,,135219,,0,
Valley Transit,Walla Walla,WA,00064,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,91405,"Walla Walla, WA--OR",50013,19,DR,Demand Response,DO,5,0,,0,,0,,0,,1965003,,1965003,,0,
Valley Transit,Walla Walla,WA,00064,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,91405,"Walla Walla, WA--OR",50013,19,MB,Bus,DO,9,0,,0,,0,,0,,4446063,,4446063,,0,
Valley Transit,Walla Walla,WA,00064,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,91405,"Walla Walla, WA--OR",50013,19,VP,Vanpool,DO,5,0,,0,,0,,0,,336213,,336213,,0,
"Benton County, dba: Benton Area Transit",Corvallis,OR,00065,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,20422,"Corvallis, OR",66791,13,CB,Commuter Bus,PT,2,0,,0,,0,,0,,375211,,375211,,0,
"Benton County, dba: Benton Area Transit",Corvallis,OR,00065,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,20422,"Corvallis, OR",66791,13,DR,Demand Response,PT,11,0,,0,,0,,0,,1080302,,1080302,,0,
"Gulkana Village Council, dba: Soaring Eagle Transit",Gakona,AK,00085,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,3,DR,Demand Response,DO,1,0,,0,,0,,0,,5173,,5173,,0,
"Gulkana Village Council, dba: Soaring Eagle Transit",Gakona,AK,00085,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,3,MB,Bus,DO,2,0,,0,,0,,0,,269107,,269107,,0,
"Lummi Nation, dba: Lummi Transit",Bellingham,WA,00095,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,4,MB,Bus,DO,4,0,,0,,0,,0,,472104,,472104,,0,
"Squaxin Island Tribe, dba: Squaxin Island Transit",Shelton,WA,00103,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,5,DR,Demand Response,DO,2,0,,0,,0,,0,,24725,,24725,,0,
"Squaxin Island Tribe, dba: Squaxin Island Transit",Shelton,WA,00103,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,5,MB,Bus,DO,3,0,,0,,0,,0,,249944,,249944,,0,
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage",Toppenish,WA,00111,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,7,DR,Demand Response,DO,1,0,,0,,0,,0,,49185,,49185,,0,
"Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage",Toppenish,WA,00111,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,7,MB,Bus,DO,6,0,,0,,0,,0,,451447,,451447,,0,
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit",Pendleton,OR,00119,Tribe,Reduced Reporter,2024,00041,Oregon Non-UZA,1553447,8,CB,Commuter Bus,DO,4,0,,0,,0,,0,,1764149,,1764149,,0,
"Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit",Pendleton,OR,00119,Tribe,Reduced Reporter,2024,00041,Oregon Non-UZA,1553447,8,MB,Bus,DO,4,0,,0,,0,,0,,839424,,839424,,0,
"Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service",Longview,WA,00127,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,8,DR,Demand Response,DO,8,0,,0,,0,,0,,492852,,492852,,0,
"Nez Perce Tribe, dba: Appaloosa Express",Lapwai,ID,00135,Tribe,Reduced Reporter,2024,00016,Idaho Non-UZA,836252,4,DR,Demand Response,DO,1,0,,0,,0,,0,,115646,,115646,,0,
"Nez Perce Tribe, dba: Appaloosa Express",Lapwai,ID,00135,Tribe,Reduced Reporter,2024,00016,Idaho Non-UZA,836252,4,MB,Bus,DO,3,0,,0,,0,,0,,1329929,,1329929,,0,
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service",Mountain Village,AK,00143,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,1,DR,Demand Response,DO,1,0,,0,,0,,0,,59103,,59103,,0,
"Seldovia Village Tribe, dba: Seldovia Bay Ferry",Seldovia,AK,00199,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,1,FB,Ferryboat,DO,1,0,,0,,0,,0,,693448,,693448,,0,
"Spokane Tribe of Indians, dba: The Moccasin Express",Wellpinit,WA,00207,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,10,DR,Demand Response,DO,3,0,,0,,0,,0,,130109,,130109,,0,
"Spokane Tribe of Indians, dba: The Moccasin Express",Wellpinit,WA,00207,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,10,MB,Bus,DO,4,0,,0,,0,,0,,1171000,,1171000,,0,
"Spokane Tribe of Indians, dba: The Moccasin Express",Wellpinit,WA,00207,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,10,VP,Vanpool,DO,3,0,,0,,0,,0,,25729,,25729,,0,
Ketchikan Indian Community,Ketchikan,AK,00239,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,4,DR,Demand Response,DO,4,0,,0,,0,,0,,244816,,244816,,0,
"Hydaburg Cooperative Association, dba: HCA transit",Hydaburg,AK,00279,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,1,DR,Demand Response,DO,1,0,,0,,0,,0,,132467,,132467,,0,
"Garfield County Transportation Program, dba: Garfield County Transportation Authority",Pomeroy,WA,00282,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,4,DR,Demand Response,DO,4,0,,0,,0,,0,,490311,,490311,,0,
"Thurston Regional Planning Council, dba: ruralTRANSIT",Olympia,WA,00285,"MPO, COG or Other Planning Agency",Rural Reporter,2024,,,,6,MB,Bus,PT,6,0,,0,,0,,0,,1688963,,1688963,,0,
Rural Resources Community Action,Colville,WA,00286,Private-Non-Profit Corporation,Rural Reporter,2024,,,,8,CB,Commuter Bus,DO,3,0,,0,,0,,0,,151905,,151905,,0,
Rural Resources Community Action,Colville,WA,00286,Private-Non-Profit Corporation,Rural Reporter,2024,,,,8,DR,Demand Response,DO,5,0,,0,,0,,0,,887114,,887114,,0,
People for People Moses Lake,Yakima,WA,00287,Private-Non-Profit Corporation,Rural Reporter,2024,,,,26,DR,Demand Response,DO,18,0,,0,,0,,0,,1073417,,1073417,,0,
People for People Moses Lake,Yakima,WA,00287,Private-Non-Profit Corporation,Rural Reporter,2024,,,,26,MB,Bus,DO,8,0,,0,,0,,0,,1081510,,1081510,,0,
"City of Pullman, dba: Pullman Transit",Pullman,WA,00294,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,17,DR,Demand Response,DO,4,0,,0,,0,,0,,1158572,,1158572,,0,
"City of Pullman, dba: Pullman Transit",Pullman,WA,00294,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,17,MB,Bus,DO,13,0,,0,,0,,0,,4666323,,4666323,,0,
"Tillamook County Transportation District, dba: The Wave",Tillamook,OR,00296,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,11,CB,Commuter Bus,DO,2,0,,0,,0,,0,,612171,,612171,,0,
"Tillamook County Transportation District, dba: The Wave",Tillamook,OR,00296,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,11,DR,Demand Response,DO,4,0,,0,,0,,0,,610339,,610339,,0,
"Tillamook County Transportation District, dba: The Wave",Tillamook,OR,00296,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,11,MB,Bus,DO,5,0,,0,,0,,0,,1722322,,1722322,,0,
People for People Yakima,Yakima,WA,00297,Private-Non-Profit Corporation,Reduced Reporter,2024,97507,"Yakima, WA",133145,17,CB,Commuter Bus,DO,3,0,,0,,0,,0,,513941,,513941,,0,
People for People Yakima,Yakima,WA,00297,Private-Non-Profit Corporation,Reduced Reporter,2024,97507,"Yakima, WA",133145,17,DR,Demand Response,DO,12,0,,0,,0,,0,,1412818,,1412818,,0,
People for People Yakima,Yakima,WA,00297,Private-Non-Profit Corporation,Reduced Reporter,2024,97507,"Yakima, WA",133145,17,MB,Bus,DO,2,0,,0,,0,,0,,87164,,87164,,0,
Island Transit,Coupeville,WA,00298,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,57,DR,Demand Response,DO,12,0,,0,,0,,0,,3334959,,3334959,,0,
Island Transit,Coupeville,WA,00298,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,57,MB,Bus,DO,14,0,,0,,0,,0,,13027099,,13027099,,0,
Island Transit,Coupeville,WA,00298,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,57,VP,Vanpool,DO,31,0,,0,,0,,0,,871978,,871978,,0,
"Klickitat County Senior Services, dba: Mount Adams Transportation Service",Goldendale,WA,00299,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,14,DR,Demand Response,DO,12,0,,0,,0,,0,,1213708,,1213708,,0,
"Klickitat County Senior Services, dba: Mount Adams Transportation Service",Goldendale,WA,00299,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,14,MB,Bus,DO,2,0,,0,,0,,0,,444410,,444410,,0,
"City of Silverton, dba: Silver Trolley",Silverton,OR,00300,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,106128,,106128,,0,
South Clackamas Transportation District,Molalla,OR,00301,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,4,MB,Bus,PT,4,0,,0,,0,,0,,1393329,,1393329,,0,
Clallam Transit System,Port Angeles,WA,00303,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,56,DR,Demand Response,DO,16,0,,0,,0,,0,,3274271,,3274271,,0,
Clallam Transit System,Port Angeles,WA,00303,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,56,MB,Bus,DO,18,0,,0,,0,,0,,9207204,,9207204,,0,
Clallam Transit System,Port Angeles,WA,00303,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,56,VP,Vanpool,DO,22,0,,0,,0,,0,,1197508,,1197508,,0,
Coos County Area Transit,Coos Bay,OR,00307,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,13,CB,Commuter Bus,DO,4,0,,0,,0,,0,,441940,,441940,,0,
Coos County Area Transit,Coos Bay,OR,00307,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,13,DR,Demand Response,DO,4,0,,0,,0,,0,,357593,,357593,,0,
Coos County Area Transit,Coos Bay,OR,00307,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,13,MB,Bus,DO,5,0,,0,,0,,0,,952626,,952626,,0,
"Curry County Public Transit Service District, dba: Curry Public Transit Inc",Brookings,OR,00308,Private Provider Reporting on Behalf of a Public Entity,Rural Reporter,2024,,,,11,DR,Demand Response,DO,5,0,,0,,0,,0,,331820,,331820,,0,
"Curry County Public Transit Service District, dba: Curry Public Transit Inc",Brookings,OR,00308,Private Provider Reporting on Behalf of a Public Entity,Rural Reporter,2024,,,,11,MB,Bus,DO,6,0,,0,,0,,0,,649795,,649795,,0,
"Grant County Transportation Authority, dba: Grant Transit Authority",Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,46,DR,Demand Response,DO,4,0,,0,,0,,0,,523224,,523224,,0,
"Grant County Transportation Authority, dba: Grant Transit Authority",Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,46,DR,Demand Response,PT,18,0,,0,,0,,0,,1040938,,1040938,,0,
"Grant County Transportation Authority, dba: Grant Transit Authority",Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,46,MB,Bus,DO,15,0,,0,,0,,0,,4158994,,4158994,,0,
"Grant County Transportation Authority, dba: Grant Transit Authority",Moses Lake,WA,00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,46,VP,Vanpool,DO,9,0,,0,,0,,0,,69163,,69163,,0,
"Lincoln County Transportation Service District, dba: Lincoln County Transit",Newport,OR,00310,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,13,CB,Commuter Bus,DO,1,0,,0,,0,,0,,246043,,246043,,0,
"Lincoln County Transportation Service District, dba: Lincoln County Transit",Newport,OR,00310,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,13,DR,Demand Response,DO,4,0,,0,,0,,0,,456526,,456526,,0,
"Lincoln County Transportation Service District, dba: Lincoln County Transit",Newport,OR,00310,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,13,MB,Bus,DO,8,0,,0,,0,,0,,1054883,,1054883,,0,
Mountain Rides Transportation Authority,Ketchum,ID,00311,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,34,DR,Demand Response,DO,3,0,,0,,0,,0,,146466,,146466,,0,
Mountain Rides Transportation Authority,Ketchum,ID,00311,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,34,MB,Bus,DO,13,0,,0,,0,,0,,3536391,,3536391,,0,
